customer_id,date,revenue,country,segment,churned,users,marketing_spend,month_year
1084,01-01-2023,548,India,Startup,0,5,4061,2023-01
1054,01-01-2023,280,USA,Enterprise,1,9,3604,2023-01
1071,01-01-2023,97,Australia,Startup,0,22,8654,2023-01
1046,01-01-2023,596,India,Startup,0,14,4340,2023-01
1045,01-01-2023,54,USA,Startup,0,39,7438,2023-01
1040,01-01-2023,442,USA,SMB,0,32,3290,2023-01
1023,01-01-2023,290,Germany,Enterprise,0,30,8074,2023-01
1081,01-01-2023,280,Australia,Startup,0,36,7168,2023-01
1011,01-01-2023,209,UK,Startup,0,2,3193,2023-01
1001,01-01-2023,845,Germany,SMB,0,28,6092,2023-01
1019,01-01-2023,280,India,Enterprise,0,13,6364,2023-01
1031,01-01-2023,308,UK,Enterprise,0,33,1163,2023-01
1074,01-01-2023,876,India,Enterprise,0,12,4081,2023-01
1034,01-01-2023,856,USA,Startup,0,49,1198,2023-01
1091,01-01-2023,162,USA,SMB,0,23,8664,2023-01
1005,01-01-2023,785,India,Enterprise,0,2,5672,2023-01
1077,01-01-2023,733,USA,SMB,0,4,4010,2023-01
1078,01-01-2023,252,UK,Enterprise,0,24,8504,2023-01
1013,01-01-2023,933,USA,SMB,0,48,6787,2023-01
1032,01-01-2023,658,India,Startup,0,29,1159,2023-01
1056,01-01-2023,813,UK,Startup,0,19,3411,2023-01
1089,01-01-2023,760,Germany,Enterprise,0,39,2885,2023-01
1027,01-01-2023,921,India,Startup,0,25,6034,2023-01
1043,01-01-2023,347,UK,Startup,0,26,9315,2023-01
1070,01-01-2023,621,India,SMB,1,12,5048,2023-01
1016,01-01-2023,86,UK,Startup,0,35,2755,2023-01
1057,02-01-2023,574,Germany,SMB,0,36,5280,2023-01
1046,02-01-2023,69,India,SMB,0,12,6502,2023-01
1013,02-01-2023,520,Germany,SMB,0,23,1353,2023-01
1016,02-01-2023,100,India,SMB,0,22,6957,2023-01
1063,02-01-2023,619,India,SMB,0,43,2991,2023-01
1012,02-01-2023,662,India,Enterprise,0,44,504,2023-01
1044,02-01-2023,152,Germany,SMB,0,30,4642,2023-01
1049,02-01-2023,916,Germany,Enterprise,1,42,2193,2023-01
1094,02-01-2023,708,India,Startup,0,26,9432,2023-01
1040,02-01-2023,523,Australia,SMB,0,9,2431,2023-01
1011,02-01-2023,690,USA,SMB,0,34,8305,2023-01
1009,02-01-2023,167,India,Enterprise,0,16,4570,2023-01
1074,02-01-2023,753,Australia,SMB,0,3,3647,2023-01
1039,02-01-2023,203,UK,Enterprise,0,29,9935,2023-01
1042,02-01-2023,118,India,SMB,0,5,7117,2023-01
1056,02-01-2023,481,Australia,Startup,0,30,4952,2023-01
1087,02-01-2023,72,USA,SMB,1,36,3349,2023-01
1026,02-01-2023,229,USA,SMB,1,32,9707,2023-01
